Tank,date_time2,Date,Time,Status,day,month,Cohort,Zub_temp,Target.temp,meanTemp,Day
1,2022-02-01 10:00:00,2022-02-01,10:00:00,Symb,1,Feb,LD,23.2333696666667,25,24.6,2
1,2022-02-01 11:00:00,2022-02-01,11:00:00,Apo,1,Feb,LD,23.3611113333333,25,24.6,2
1,2022-02-01 11:00:00,2022-02-01,11:00:00,Symb,1,Feb,LD,23.1986113333333,25,24.6,2
1,2022-02-01 12:00:00,2022-02-01,12:00:00,Apo,1,Feb,LD,23.3126113333333,25,24.6,2
1,2022-02-01 12:00:00,2022-02-01,12:00:00,Symb,1,Feb,LD,23.1501113333333,25,24.6,2
1,2022-02-01 13:00:00,2022-02-01,13:00:00,Apo,1,Feb,LD,23.3788946666667,25,24.6,2
1,2022-02-01 13:00:00,2022-02-01,13:00:00,Symb,1,Feb,LD,23.2163946666667,25,24.6,2
1,2022-02-01 14:00:00,2022-02-01,14:00:00,Apo,1,Feb,LD,23.3077613333333,25,24.6,2
1,2022-02-01 14:00:00,2022-02-01,14:00:00,Symb,1,Feb,LD,23.1452613333333,25,24.6,2
1,2022-02-01 15:00:00,2022-02-01,15:00:00,Apo,1,Feb,LD,23.3376696666667,25,24.6,2
1,2022-02-01 15:00:00,2022-02-01,15:00:00,Symb,1,Feb,LD,23.1751696666667,25,24.6,2
1,2022-02-01 16:00:00,2022-02-01,16:00:00,Apo,1,Feb,LD,23.353028,25,24.6,2
1,2022-02-01 16:00:00,2022-02-01,16:00:00,Symb,1,Feb,LD,23.190528,25,24.6,2
1,2022-02-01 17:00:00,2022-02-01,17:00:00,Apo,1,Feb,LD,23.3328196666667,25,24.6,2
1,2022-02-01 17:00:00,2022-02-01,17:00:00,Symb,1,Feb,LD,23.1703196666667,25,24.6,2
1,2022-02-01 18:00:00,2022-02-01,18:00:00,Apo,1,Feb,LD,23.3417113333333,25,24.6,2
1,2022-02-01 18:00:00,2022-02-01,18:00:00,Symb,1,Feb,LD,23.1792113333333,25,24.6,2
1,2022-02-01 19:00:00,2022-02-01,19:00:00,Apo,1,Feb,LD,23.2471363333333,25,24.6,2
1,2022-02-01 19:00:00,2022-02-01,19:00:00,Symb,1,Feb,LD,23.0846363333333,25,24.6,2
1,2022-02-01 20:00:00,2022-02-01,20:00:00,Apo,1,Feb,LD,23.2544113333333,25,24.6,2
1,2022-02-01 20:00:00,2022-02-01,20:00:00,Symb,1,Feb,LD,23.0919113333333,25,24.6,2
1,2022-02-01 21:00:00,2022-02-01,21:00:00,Apo,1,Feb,LD,23.2624946666667,25,24.6,2
1,2022-02-01 21:00:00,2022-02-01,21:00:00,Symb,1,Feb,LD,23.0999946666667,25,24.6,2
1,2022-02-01 22:00:00,2022-02-01,22:00:00,Apo,1,Feb,LD,23.2261446666667,25,24.6,2
1,2022-02-01 22:00:00,2022-02-01,22:00:00,Symb,1,Feb,LD,23.0636446666667,25,24.6,2
1,2022-02-01 23:00:00,2022-02-01,23:00:00,Apo,1,Feb,LD,23.2398613333333,25,24.6,2
1,2022-02-01 23:00:00,2022-02-01,23:00:00,Symb,1,Feb,LD,23.0773613333333,25,24.6,2
1,2022-02-02 00:00:00,2022-02-02,00:00:00,Apo,2,Feb,LD,23.2374363333333,25,24.6,3
1,2022-02-02 00:00:00,2022-02-02,00:00:00,Symb,2,Feb,LD,23.0749363333333,25,24.6,3
1,2022-02-02 01:00:00,2022-02-02,01:00:00,Apo,2,Feb,LD,23.239053,25,24.6,3
1,2022-02-02 01:00:00,2022-02-02,01:00:00,Symb,2,Feb,LD,23.076553,25,24.6,3
1,2022-02-02 02:00:00,2022-02-02,02:00:00,Apo,2,Feb,LD,23.241478,25,24.6,3
1,2022-02-02 02:00:00,2022-02-02,02:00:00,Symb,2,Feb,LD,23.078978,25,24.6,3
1,2022-02-02 03:00:00,2022-02-02,03:00:00,Apo,2,Feb,LD,23.2519863333333,25,24.6,3
1,2022-02-02 03:00:00,2022-02-02,03:00:00,Symb,2,Feb,LD,23.0894863333333,25,24.6,3
1,2022-02-02 04:00:00,2022-02-02,04:00:00,Apo,2,Feb,LD,23.2738113333333,25,24.6,3
1,2022-02-02 04:00:00,2022-02-02,04:00:00,Symb,2,Feb,LD,23.1113113333333,25,24.6,3
1,2022-02-02 05:00:00,2022-02-02,05:00:00,Apo,2,Feb,LD,23.2649196666667,25,24.6,3
1,2022-02-02 05:00:00,2022-02-02,05:00:00,Symb,2,Feb,LD,23.1024196666667,25,24.6,3
1,2022-02-02 06:00:00,2022-02-02,06:00:00,Apo,2,Feb,LD,23.287553,25,24.6,3
1,2022-02-02 06:00:00,2022-02-02,06:00:00,Symb,2,Feb,LD,23.125053,25,24.6,3
1,2022-02-02 07:00:00,2022-02-02,07:00:00,Apo,2,Feb,LD,23.3813196666667,25,24.6,3
1,2022-02-02 07:00:00,2022-02-02,07:00:00,Symb,2,Feb,LD,23.2188196666667,25,24.6,3
1,2022-02-02 08:00:00,2022-02-02,08:00:00,Apo,2,Feb,LD,23.3231196666667,25,24.6,3
1,2022-02-02 08:00:00,2022-02-02,08:00:00,Symb,2,Feb,LD,23.1606196666667,25,24.6,3
1,2022-02-02 09:00:00,2022-02-02,09:00:00,Apo,2,Feb,LD,23.3546446666667,25,24.6,3
1,2022-02-02 09:00:00,2022-02-02,09:00:00,Symb,2,Feb,LD,23.1921446666667,25,24.6,3
1,2022-02-02 10:00:00,2022-02-02,10:00:00,Apo,2,Feb,LD,23.270578,25,24.6,3
1,2022-02-02 10:00:00,2022-02-02,10:00:00,Symb,2,Feb,LD,23.108078,25,24.6,3
1,2022-02-02 11:00:00,2022-02-02,11:00:00,Apo,2,Feb,LD,23.270578,25,24.6,3
1,2022-02-02 11:00:00,2022-02-02,11:00:00,Symb,2,Feb,LD,23.108078,25,24.6,3
1,2022-02-02 12:00:00,2022-02-02,12:00:00,Apo,2,Feb,LD,23.4144613333333,25,24.6,3
1,2022-02-02 12:00:00,2022-02-02,12:00:00,Symb,2,Feb,LD,23.2519613333333,25,24.6,3
1,2022-02-02 13:00:00,2022-02-02,13:00:00,Apo,2,Feb,LD,23.2005113333333,25,24.6,3
1,2022-02-02 13:00:00,2022-02-02,13:00:00,Symb,2,Feb,LD,23.0380113333333,25,24.6,3
1,2022-02-02 14:00:00,2022-02-02,14:00:00,Apo,2,Feb,LD,23.041203,25,24.6,3
1,2022-02-02 14:00:00,2022-02-02,14:00:00,Symb,2,Feb,LD,22.878703,25,24.6,3
1,2022-02-02 15:00:00,2022-02-02,15:00:00,Apo,2,Feb,LD,22.9031446666667,25,24.6,3
1,2022-02-02 15:00:00,2022-02-02,15:00:00,Symb,2,Feb,LD,22.7406446666667,25,24.6,3
1,2022-02-02 16:00:00,2022-02-02,16:00:00,Apo,2,Feb,LD,23.0298113333333,25,24.6,3
1,2022-02-02 16:00:00,2022-02-02,16:00:00,Symb,2,Feb,LD,22.8673113333333,25,24.6,3
1,2022-02-02 17:00:00,2022-02-02,17:00:00,Apo,2,Feb,LD,23.177128,25,24.6,3
1,2022-02-02 17:00:00,2022-02-02,17:00:00,Symb,2,Feb,LD,23.014628,25,24.6,3
1,2022-02-02 18:00:00,2022-02-02,18:00:00,Apo,2,Feb,LD,23.1058696666667,25,24.6,3
